sofifa_id_x,short_name_x,long_name,player_positions_x,overall_x,potential_x,age_x,nationality_name_x,nation_position_x,nation_jersey_number_x,club_name_x,league_name_x,value_eur_x,wage_eur_x,pace_x,shooting_x,passing_x,dribbling_x,defending_x,physic_x,sofifa_id_y,player_url,short_name_y,player_positions_y,overall_y,potential_y,value_eur_y,wage_eur_y,age_y,dob,height_cm,weight_kg,club_team_id,club_name_y,league_name_y,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name_y,nation_team_id,nation_position_y,nation_jersey_number_y,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace_y,shooting_y,passing_y,dribbling_y,defending_y,physic_y,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
237942,P. Estupiñán,Pervis Josué Estupiñán Tenorio,"LB, LWB",79,85,23,Ecuador,,,Villarreal CF,Spain Primera Division,26000000.0,29000.0,82.0,34.0,68.0,72.0,75.0,75.0,237942,https://sofifa.com/player/237942/pervis-estupinan/220002,P. Estupiñán,"LB, LWB",79,85,26000000.0,29000.0,23,1998-01-21,175,78,483.0,Villarreal CF,Spain Primera Division,1.0,SUB,12.0,,2020-09-16,2027.0,57,Ecuador,,,,Left,3,3,1,High/Medium,Stocky (170-185),No,59800000.0,,Speed Dribbler (AI),82.0,34.0,68.0,72.0,75.0,75.0,79,20,75,78,38,73,59,36,62,71,81,83,76,71,70,41,69,79,74,42,74,75,52,56,69,62,69,80,79,14,7,14,7,7,,57+2,57+2,57+2,65,61,61,61,65,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,77+2,73+2,73+2,73+2,77+2,77+2,75+2,75+2,75+2,77+2,16+2,https://cdn.sofifa.net/players/237/942/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ec.png
175254,F. Caicedo,Felipe Salvador Caicedo Corozo,"CF, ST",78,78,32,Ecuador,,,Genoa,Italian Serie A,11500000.0,22000.0,74.0,78.0,70.0,75.0,44.0,80.0,175254,https://sofifa.com/player/175254/felipe-caicedo/220002,F. Caicedo,"CF, ST",78,78,11500000.0,22000.0,32,1988-09-05,183,82,110556.0,Genoa,Italian Serie A,1.0,SUB,9.0,,2021-09-01,2026.0,57,Ecuador,,,,Left,3,3,2,High/Medium,Stocky (170-185),No,20700000.0,#Strength,Flair,74.0,78.0,70.0,75.0,44.0,80.0,59,79,77,79,78,77,66,68,66,79,73,74,59,79,67,84,75,59,91,70,80,43,82,68,73,77,32,44,47,7,13,7,8,10,,79-1,79-1,79-1,75,78,78,78,75,76+2,76+2,76+2,74+2,71+2,71+2,71+2,74+2,60+2,62+2,62+2,62+2,60+2,58+2,59+2,59+2,59+2,58+2,17+2,https://cdn.sofifa.net/players/175/254/22_120.png,https://cdn.sofifa.net/teams/110556/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/ec.png
223053,Á. Mena,Ángel Israel Mena Delgado,"RM, RW",78,78,33,Ecuador,,,Club León,Mexican Liga MX,9000000.0,28000.0,81.0,74.0,72.0,82.0,45.0,49.0,223053,https://sofifa.com/player/223053/angel-mena/220002,Á. Mena,"RM, RW",78,78,9000000.0,28000.0,33,1988-01-21,168,71,110781.0,Club León,Mexican Liga MX,1.0,RM,13.0,,2019-01-01,2021.0,57,Ecuador,,,,Left,4,4,1,High/Medium,Lean (170-),No,15300000.0,#Acrobat,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",81.0,74.0,72.0,82.0,45.0,49.0,75,77,69,75,71,82,64,67,71,80,81,81,91,77,85,69,33,75,47,72,27,43,78,69,72,75,38,46,41,6,10,9,10,13,,75+2,75+2,75+2,78,77,77,77,78,77+1,77+1,77+1,77+1,72+2,72+2,72+2,77+1,64+2,58+2,58+2,58+2,64+2,61+2,50+2,50+2,50+2,61+2,17+2,https://cdn.sofifa.net/players/223/053/22_120.png,https://cdn.sofifa.net/teams/110781/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
189454,D. Díaz,Damián Rodrigo Díaz,CAM,76,76,35,Ecuador,,,Barcelona Sporting Club,Ecuadorian Serie A,3100000.0,1000.0,74.0,65.0,76.0,77.0,44.0,68.0,189454,https://sofifa.com/player/189454/damian-diaz/220002,D. Díaz,CAM,76,76,3100000.0,1000.0,35,1986-05-01,174,67,110981.0,Barcelona Sporting Club,Ecuadorian Serie A,1.0,CAM,10.0,,2016-02-02,2021.0,57,Ecuador,,,,Right,4,4,1,High/Medium,Lean (170-185),No,6800000.0,,"Leadership, Flair, Playmaker (AI), Technical Dribbler (AI)",74.0,65.0,76.0,77.0,44.0,68.0,69,73,48,78,60,80,62,75,77,76,72,75,77,70,72,57,57,78,69,52,58,42,71,84,77,75,57,34,33,11,15,14,11,7,,68+2,68+2,68+2,74,73,73,73,74,76,76,76,75+1,72+2,72+2,72+2,75+1,62+2,62+2,62+2,62+2,62+2,58+2,52+2,52+2,52+2,58+2,18+2,https://cdn.sofifa.net/players/189/454/22_120.png,https://cdn.sofifa.net/teams/110981/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
191164,F. Martínez,Fidel Francisco Martínez Tenorio,"ST, LM, RM",75,75,31,Ecuador,,,Club Tijuana,Mexican Liga MX,4800000.0,23000.0,88.0,72.0,65.0,74.0,32.0,69.0,191164,https://sofifa.com/player/191164/fidel-martinez/220002,F. Martínez,"ST, LM, RM",75,75,4800000.0,23000.0,31,1990-02-15,179,74,111678.0,Club Tijuana,Mexican Liga MX,1.0,LS,10.0,,2021-01-01,2022.0,57,Ecuador,,,,Left,3,4,1,High/Low,Lean (170-185),No,8200000.0,,"Flair, Technical Dribbler (AI)",88.0,72.0,65.0,74.0,32.0,69.0,66,76,67,70,72,75,60,62,58,76,84,92,80,69,62,65,78,75,70,64,56,45,79,63,82,66,20,25,30,7,12,6,16,15,,74+1,74+1,74+1,75,74,74,74,75,72+2,72+2,72+2,74+1,66+2,66+2,66+2,74+1,58+2,53+2,53+2,53+2,58+2,55+2,48+2,48+2,48+2,55+2,18+2,https://cdn.sofifa.net/players/191/164/22_120.png,https://cdn.sofifa.net/teams/111678/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
220295,E. Valencia,Enner Remberto Valencia Lastra,"ST, RM, LM",75,75,31,Ecuador,,,Fenerbahçe SK,Turkish Süper Lig,4800000.0,45000.0,88.0,74.0,66.0,73.0,46.0,75.0,220295,https://sofifa.com/player/220295/enner-valencia/220002,E. Valencia,"ST, RM, LM",75,75,4800000.0,45000.0,31,1989-11-04,177,74,326.0,Fenerbahçe SK,Turkish Süper Lig,1.0,ST,13.0,,2020-08-28,2023.0,57,Ecuador,,,,Right,3,4,2,High/High,Normal (170-185),No,9100000.0,,"Power Free-Kick, Speed Dribbler (AI), Power Header, Outside Foot Shot",88.0,74.0,66.0,73.0,46.0,75.0,67,75,74,68,62,72,73,67,60,72,89,88,84,73,72,80,91,81,76,70,61,40,74,65,68,63,50,40,38,9,12,16,9,8,,75,75,75,74,74,74,74,74,72+2,72+2,72+2,73+2,66+2,66+2,66+2,73+2,62+2,58+2,58+2,58+2,62+2,60+2,56+2,56+2,56+2,60+2,17+2,https://cdn.sofifa.net/players/220/295/22_120.png,https://cdn.sofifa.net/teams/326/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ec.png
204738,R. Ibarra,Alex Renato Ibarra Mina,"RM, RW",74,74,30,Ecuador,,,Club América,Mexican Liga MX,4100000.0,37000.0,87.0,64.0,68.0,75.0,53.0,73.0,204738,https://sofifa.com/player/204738/renato-ibarra/220002,R. Ibarra,"RM, RW",74,74,4100000.0,37000.0,30,1991-01-20,175,76,1879.0,Club América,Mexican Liga MX,1.0,SUB,30.0,,2021-08-23,2025.0,57,Ecuador,,,,Right,3,3,1,High/High,Normal (170-185),Yes,7000000.0,,"Injury Prone, Speed Dribbler (AI)",87.0,64.0,68.0,75.0,53.0,73.0,72,60,47,72,60,76,63,61,62,75,85,88,80,65,72,70,71,82,70,70,71,56,65,65,54,63,57,52,46,6,9,14,13,8,,67+2,67+2,67+2,72,70,70,70,72,71+2,71+2,71+2,73+1,68+2,68+2,68+2,73+1,67+2,64+2,64+2,64+2,67+2,64+2,59+2,59+2,59+2,64+2,15+2,https://cdn.sofifa.net/players/204/738/22_120.png,https://cdn.sofifa.net/teams/1879/60.png,https://cdn.sofifa.net/flags/mx.png,,https://cdn.sofifa.net/flags/ec.png
247181,G. Plata,Gonzalo Jordy Plata Jiménez,RW,74,84,20,Ecuador,,,Real Valladolid CF,Spanish Segunda División,9500000.0,10000.0,85.0,66.0,65.0,79.0,43.0,64.0,247181,https://sofifa.com/player/247181/gonzalo-plata/220002,G. Plata,RW,74,84,9500000.0,10000.0,20,2000-11-01,178,65,462.0,Real Valladolid CF,Spanish Segunda División,2.0,SUB,12.0,Sporting CP,,2022.0,57,Ecuador,,,,Left,3,4,1,High/Low,Normal (170-185),No,,,"Flair, Technical Dribbler (AI)",85.0,66.0,65.0,79.0,43.0,64.0,68,65,41,68,71,79,76,52,46,77,86,85,88,73,80,70,51,69,63,65,61,40,73,71,60,78,43,46,38,13,8,14,10,12,,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,73+2,66+2,66+2,66+2,73+2,61+2,56+2,56+2,56+2,61+2,58+2,51+2,51+2,51+2,58+2,18+2,https://cdn.sofifa.net/players/247/181/22_120.png,https://cdn.sofifa.net/teams/462/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ec.png
253537,B. Castillo,Byron David Castillo Segura,"RB, RM",73,80,22,Ecuador,,,Barcelona Sporting Club,Ecuadorian Serie A,6000000.0,850.0,82.0,48.0,62.0,62.0,68.0,66.0,253537,https://sofifa.com/player/253537/byron-castillo/220002,B. Castillo,"RB, RM",73,80,6000000.0,850.0,22,1998-11-10,171,60,110981.0,Barcelona Sporting Club,Ecuadorian Serie A,1.0,RB,26.0,,2018-01-01,2025.0,57,Ecuador,,,,Right,2,3,1,High/Medium,Lean (170-185),No,14400000.0,,Speed Dribbler (AI),82.0,48.0,62.0,62.0,68.0,66.0,70,50,67,67,35,53,41,35,55,69,80,83,74,65,89,50,66,90,59,42,52,67,59,60,40,55,69,70,64,6,12,9,10,6,,60+2,60+2,60+2,63,61,61,61,63,62+2,62+2,62+2,66+2,63+2,63+2,63+2,66+2,71+2,66+2,66+2,66+2,71+2,71+2,66+2,66+2,66+2,71+2,15+2,https://cdn.sofifa.net/players/253/537/22_120.png,https://cdn.sofifa.net/teams/110981/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
220739,J. Sornoza,Júnior Nazareno Sornoza Moreira,CAM,72,73,27,Ecuador,,,Independiente del Valle,Ecuadorian Serie A,2700000.0,850.0,72.0,68.0,72.0,72.0,40.0,47.0,220739,https://sofifa.com/player/220739/junior-sornoza/220002,J. Sornoza,CAM,72,73,2700000.0,850.0,27,1994-01-28,170,66,112908.0,Independiente del Valle,Ecuadorian Serie A,1.0,LM,11.0,,2021-07-13,2026.0,57,Ecuador,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,6000000.0,,"Long Passer (AI), Long Shot Taker (AI)",72.0,68.0,72.0,72.0,40.0,47.0,68,68,43,73,59,71,70,71,71,73,73,71,70,66,94,67,63,70,37,68,40,26,71,78,73,61,62,29,30,14,11,7,8,12,,65+2,65+2,65+2,71,70,70,70,71,72+1,72+1,72+1,71+2,68+2,68+2,68+2,71+2,57+2,54+2,54+2,54+2,57+2,53+2,44+2,44+2,44+2,53+2,17+2,https://cdn.sofifa.net/players/220/739/22_120.png,https://cdn.sofifa.net/teams/112908/60.png,https://cdn.sofifa.net/flags/ec.png,,https://cdn.sofifa.net/flags/ec.png
