short_name,nationality_name,club_name,macro_pos,perfil,cluster,overall,age,score_impacto,rank_global
L. Messi,Argentina,Paris Saint-Germain,FWD,Delantero Estrella,1,93,34,94.3,1
K. Mbappé,France,Paris Saint-Germain,FWD,Delantero Estrella,1,91,22,92.33,2
K. De Bruyne,Belgium,Manchester City,MID,Mediocampista Élite,1,91,30,91.79,3
Cristiano Ronaldo,Portugal,Manchester United,FWD,Delantero Estrella,1,91,36,91.24,4
R. Lewandowski,Poland,FC Bayern München,FWD,Delantero Estrella,1,92,32,89.19,5
V. van Dijk,Netherlands,Liverpool,DEF,Defensa Élite,1,89,29,89.19,6
Bruno Fernandes,Portugal,Manchester United,MID,Mediocampista Élite,1,88,26,88.92,7
L. Modrić,Croatia,Real Madrid CF,MID,Mediocampista Élite,1,87,35,88.83,8
M. Neuer,Germany,FC Bayern München,GK,Portero Titular,1,90,35,88.72,9
S. Mané,Senegal,Liverpool,FWD,Delantero Estrella,1,89,29,88.61,10
F. de Jong,Netherlands,FC Barcelona,MID,Mediocampista Élite,1,87,24,88.41,11
J. Kimmich,Germany,FC Bayern München,MID,Mediocampista Élite,1,89,26,87.76,12
K. Benzema,France,Real Madrid CF,FWD,Delantero Estrella,1,89,33,87.75,13
S. Agüero,Argentina,FC Barcelona,FWD,Delantero Estrella,1,87,33,87.68,14
P. Pogba,France,Manchester United,MID,Mediocampista Élite,1,87,28,87.44,15
R. Sterling,England,Manchester City,FWD,Delantero Estrella,1,88,26,87.31,16
Sergio Ramos,Spain,Paris Saint-Germain,DEF,Defensa Élite,1,88,35,87.01,17
L. Suárez,Uruguay,Atlético de Madrid,FWD,Delantero Estrella,1,88,34,86.81,18
H. Kane,England,Tottenham Hotspur,FWD,Delantero Estrella,1,90,27,86.74,19
Thiago,Spain,Liverpool,MID,Mediocampista Élite,1,86,30,86.59,20
P. Dybala,Argentina,Juventus,FWD,Delantero Estrella,1,87,27,86.31,21
K. Navas,Costa Rica,Paris Saint-Germain,GK,Portero Titular,1,88,34,86.31,22
Rúben Dias,Portugal,Manchester City,DEF,Defensa Élite,1,87,24,86.04,23
