rank_global,short_name,nationality_name,macro_pos,cluster,overall,score_impacto
5,V. van Dijk,Netherlands,DEF,1,89,89.33
16,Sergio Ramos,Spain,DEF,1,88,87.15
17,Rúben Dias,Portugal,DEF,1,87,86.78
23,K. Koulibaly,Senegal,DEF,1,86,85.45
26,J. Giménez,Uruguay,DEF,1,84,85.13
27,M. de Ligt,Netherlands,DEF,1,85,85.08
30,H. Maguire,England,DEF,1,84,84.91
32,A. Laporte,Spain,DEF,1,86,84.79
35,R. Varane,France,DEF,1,86,84.64
40,A. Rüdiger,Germany,DEF,1,83,84.4
1,Cristiano Ronaldo,Portugal,FWD,1,91,92
2,L. Messi,Argentina,FWD,1,93,91.17
3,R. Lewandowski,Poland,FWD,1,92,90.21
4,K. Mbappé,France,FWD,1,91,90.12
7,H. Kane,England,FWD,1,90,88.05
8,R. Lukaku,Belgium,FWD,1,88,87.79
11,S. Mané,Senegal,FWD,1,89,87.7
12,K. Benzema,France,FWD,1,89,87.62
14,L. Suárez,Uruguay,FWD,1,88,87.46
15,S. Agüero,Argentina,FWD,1,87,87.36
19,M. Neuer,Germany,GK,1,90,86.7
42,K. Navas,Costa Rica,GK,1,88,84.25
55,T. Courtois,Belgium,GK,1,89,83.35
71,W. Szczęsny,Poland,GK,1,87,82.7
75,H. Lloris,France,GK,1,87,82.35
77,K. Schmeichel,Denmark,GK,1,85,82.3
82,M. Maignan,France,GK,1,84,82.05
98,E. Martínez,Argentina,GK,1,84,81.5
114,J. Pickford,England,GK,1,83,81
122,Y. Sommer,Switzerland,GK,1,85,80.75
6,K. De Bruyne,Belgium,MID,1,91,89.24
9,L. Modrić,Croatia,MID,1,87,87.73
10,F. de Jong,Netherlands,MID,1,87,87.73
13,J. Kimmich,Germany,MID,1,89,87.58
18,Bruno Fernandes,Portugal,MID,1,88,86.73
20,L. Goretzka,Germany,MID,1,87,85.82
21,Koke,Spain,MID,1,85,85.78
22,Thiago,Spain,MID,1,86,85.75
24,N. Kanté,France,MID,1,90,85.4
25,Marcos Llorente,Spain,MID,1,86,85.36
